,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,days_since_offer,vc_invest,Twitter_Username
0,170123-59,"Provider of cyber-security analytics and intelligence intended to provide real time breach detection and automated remediation measures. The company offers cyber-security analytics and intelligence software powered by big data, predictive analytics, security domain and adversarial machine learning providing companies with real-time breach detection and with real-time alerts and notifications enabling companies to solve fraud and cyber security challenges effectively, efficiently and economically.",Zyudly Labs,94306,Network Management Software,Vivek Ganesan,2016.0,"500 Startups, Start Smart Labs","Palo Alto, CA",0.1180476972807811,0.4692784162201996,2017-02-08,0.15,2.5,,29.0,103.0,6.0,7.0,0.37,121,0,vivganes
5,123484-96,Developer of application controlled LED lights. The company develops LED lights that can be used by the user as per their need.,Zunn Labs,90025,Electronics (B2C),Jeremy Blum,2012.0,eLab Accelerator,"Los Angeles, CA",-0.021589426699952508,0.7556047625686536,2014-12-20,0.12,,,15.0,846.0,410.0,7.0,0.12,902,0,JeremyBlum_WFA
8,170046-01,The company is currently operating in Stealth mode.,Zuma 4 Productions,90265,Other Business Products and Services,Craig Fanning,2016.0,,"Malibu, CA",0.0,0.906016399070931,2017-01-26,0.1,,Angel,25.0,816.0,425.5,7.0,0.1,134,0,HappierTheBand
9,102923-56,Provider of a community-based grocery shopping application. The company offers an application which helps users to select the products from local stores to help local retailers grow their business and improve customer retention,Zulu,94085,Internet Retail,George Zhao,2012.0,,"Sunnyvale, CA",0.0,0.1343084241205096,2014-06-01,0.75,,,7.0,21.0,47.0,6.0,1.25,1104,0,hifriend89
19,123222-43,Developer of nano-scale therapeutics. The company develops liposomal chelator therapeutics and contract formulation of liposome drugs.,ZoneOne Pharma,94158,Therapeutic Devices,Peter Working,2011.0,"California Institute for Quantitative Biosciences, U.S. Department of Health and Human Services","San Francisco, CA",0.0,0.2702702702702703,2015-05-01,0.99,,,10.0,816.0,425.5,7.0,0.46499999999999997,770,0,pnowelldesign
31,115488-01,Developer of an infertility treatment device. The company develops a medical device used to treat infertility caused by polycystic ovary syndrome.,Ziva Medical,94618,Therapeutic Devices,Neil Barman,2013.0,"National Science Foundation, StartX","Oakland, CA",0.0,0.08291342189647274,2015-06-29,0.15,,,3.0,816.0,30.0,7.0,0.46499999999999997,711,0,neilbarman
34,171150-31,The company is currently operating in Stealth mode.,Zink (Stealth),90292,Other Business Products and Services,Emmet McDermott,2016.0,,"Marina del Rey, CA",0.0,0.906016399070931,2017-03-28,0.09,,Angel,25.0,816.0,425.5,7.0,0.09,73,0,efmcd
70,157750-48,Developer of an e-procurement platform. The company's platform enables users to control their procurement purchasing and processes with the help of geographic search engine and market intelligence system.,Yurpal,92651,Social/Platform Software,Jon De Langis,2016.0,,"Laguna Beach, CA",0.0,0.03389830508474576,2016-04-21,0.09,,Angel,25.0,816.0,13.0,7.0,0.09,414,0,yurpal
75,55422-82,"Opeartor of a social network for sports. The company's online platform connects users to sports news, people, places, products, organizations and teams.",YourSports,94401,Social/Platform Software,Christopher McCoy,2006.0,Individual Investor,"San Mateo, CA",0.4187871148918001,15.378241758971308,2015-10-28,2.0,,Angel,72.0,28647.0,7761.0,23.0,6.64,590,0,Kamakiriad66
81,170869-15,"Developer of a food application intended to discover, share and buy meals of choice. The company's food application is android and iOS based, enabling food lovers to stop dieting, discover and eat food of their choice which will be tasty as well healthy.",YouFood,94114,Application Software,Peter Simones,2013.0,NFX Guild,"San Francisco, CA",0.03373889344983573,1.2491798567701293,2015-09-18,0.12,,,72.0,406.0,95.0,7.0,0.12,630,0,PeterSimones
86,103462-75,"Provider of a social platform for personal and professional development of youths. The company provides a social platform and a global networking syatem for young professionals to develop personally and professionally with the help of programs, experiences and resources.",YoPro Global,94107,Social Content,Ty Richardson,2011.0,,"San Francisco, CA",0.0017611190143543374,0.8421817279960242,2012-07-03,0.1,,Seed,18.0,737.0,524.0,12.0,0.1,1802,0,TyRichardson916
130,178439-32,"Developer of an artificial intelligence based mobile application intended to predict activities of the users based on their smartphone usage. The company's operating system uses advanced machine learning and AI technology, which shows upcoming events and activities of a user on their device's home screen, enabling them to organize and plan out their upcoming events and activities well in advance based on the predictions offered.",Xix.ai,94107,Application Software,Emil Mikhailov,2016.0,Y Combinator,"San Francisco, CA",0.0,0.044687160051935286,2016-11-01,0.12,1.71,,25.0,6.0,27.0,7.0,0.12,220,0,EmilMikhailov
131,102822-85,Developer of a mobile application software to find members in their vicinity. The company develops a bluetooth based mobile application software that enables users to discover members in the vicinity with personal attributes such as picture and names.,Ximoxi,95031,Application Software,Ramzi Alharayeri,2008.0,,"Los Gatos, CA",0.0,0.08108108108108109,2008-10-01,0.3,,Seed,3.0,816.0,425.5,1.0,0.3,3173,0,RamziAlharayeri
134,103825-72,"Provider of staffing and recruitment services. The company specializes in placing finance, accounting and human resources professionals into relevant companies and industries.",Xcel Group,94402,Human Capital Services,Kurt Byer,1994.0,,"San Mateo, CA",0.0,0.10810810810810811,2016-08-18,0.01,,Angel,4.0,816.0,425.5,4.0,0.01,295,0,KurtByer
144,104507-02,"Provider of mobile automotive diagnostics and repair services. The company involves in diagnosing and troubleshooting vehicle’s malfunctions. It also offers driveability, coolant system, electrical and brake system evaluation services.",Wrenchguy's Mobile,90250,Automotive,Isai Navarrete,2011.0,,"Hawthorne, CA",0.0,0.05405405405405406,2011-09-26,0.02,,Angel,2.0,816.0,425.5,7.0,0.02,2083,0,SaiNavarrete
166,169329-61,"Provider of an on-demand audio service intended to connect wonderers and brands to a world of entertainment and knowledge. The company provides on-demand audio service and creates and curates podcasts for audio storytelling, enabling writers to offer a new storytelling medium.",Wondery,90069,"Movies, Music and Entertainment",Hernan Lopez,2016.0,"FOX International Channels, NXTP Labs","Los Angeles, CA",0.2639181210990142,5.368702419126148,2016-04-01,0.03,,,30.0,13086.0,1269.0,7.0,0.03,434,0,HERNAN_QNAP
177,103630-15,"Provider of models forecasting and mobile data mapping platform. The company develops forecasting models and mobile data mapping technology that fixes the disconnect and risk between a property and the surrounding environment, which helps real estate professionals and businesses, with local intelligence and frequently updated growth patterns of critical data like population and income growth.",Wiz Maps,95014,Real Estate Services (B2C),Eddie Godshalk,2007.0,Individual Investor,"Cupertino, CA",0.0,1.4594594594594594,2014-09-19,0.4,,Angel,54.0,816.0,40.0,4.0,0.65,994,0,Eddie_Godshalk
178,159203-98,Developer of wireless modems. The company develops wireless modems and software tools to connect Internet of Things devices to wireless networks.,Wivity,94108,Electronics (B2C),Alfred Tom,2015.0,"500 Startups, Startup Next","San Francisco, CA",0.0,0.1403919710846756,2016-05-16,0.13,2.5,,25.0,10.0,95.0,7.0,0.13,389,0,_Tom_Cat
203,103043-17,Producer of wind turbines for urban buildings. The company manufactures and installs wind electricity generating systems for urban areas.,Windation Energy Systems,94025,Other Commercial Services,Reza Sheikhrezai,2007.0,,"Menlo Park, CA",0.0,0.5405405405405406,2010-02-24,0.08,,,20.0,816.0,425.5,7.0,0.08,2662,0,windation
211,99065-71,Owner and operator of a game development studio. The company designs and develops mobile gaming applications and digital downloadable gaming software for their customers.,Wicked Loot,94065,Application Software,John Lee,2013.0,Blue Startups,"Redwood City, CA",-0.010595962925657332,1.7730994680331453,2013-10-31,0.02,,,48.0,3292.0,144.0,4.0,0.07,1317,0,johnellis24
217,151568-47,Provider of an online doctors appointment booking platform. The company offers a Web-based platform that enables users to request and schedule an appointment with a Nurse Practitioner or any healthcare professional online.,WhiteCoat,91103,Other Healthcare Services,Mike Kwon,2015.0,"Doug Duckjun Lee, Idealab","Pasadena, CA",0.14219422157535253,0.31330014349542723,2015-12-28,0.68,,Angel,2.0,633.0,126.0,7.0,0.68,529,0,toiletpapermike
240,154969-66,"Provider of real-time assessment and treatment tool. The company offers evidence-based treatment to patients with chronic pain, depression, anxiety, substance abuse, and other mental health disorders.",WellBrain,94523,Other Healthcare Technology Systems,Ruben Kalra,2014.0,Launchpad Digital Health,"Pleasant Hill, CA",0.0,0.030333017510615155,2016-12-15,0.01,,Angel,25.0,17.0,14.0,7.0,1.15,176,0,DownWithThePain
244,103720-96,"Provider of a platform for the marijuana community to connect. The company provides a platform for patients and users to learn about medical marijuana strains, where to find a dispensary and how to obtain a doctor’s recommendation as well as deals on marijuana products.",WeedWall,90210,Social/Platform Software,Sergio Stephano,2011.0,,"Beverly Hills, CA",-0.0025973317054402666,6.8306171394049064,2012-09-07,0.03,0.25,Seed,33.0,15886.0,2056.0,7.0,0.03,1736,0,SergioStephano
259,104285-26,"Provider of co-working facilities for startups. The company offers a co-working and business community for small businesses, freelancers and entrepreneurs.",We Labs,90802,Other Commercial Services,Robbie Brown,2012.0,,"Long Beach, CA",0.0,1.7567567567567568,2013-04-09,0.01,,,65.0,3664.0,1493.0,11.0,0.46499999999999997,1522,0,BassinatorBrown
263,160277-50,The company is currently operating in Stealth mode.,Wayzme,95128,Other Business Products and Services,Benjamin Gillens,2015.0,,"San Jose, CA",0.0,0.906016399070931,2015-08-07,0.02,,Angel,25.0,816.0,425.5,7.0,0.02,672,0,oddessy25
267,89468-92,Developer of a social application for finding concerts and music events. The company's application helps people in sharing and discovering information about music and music related events and concerts. The company's platform also helps music fans in discovering new artists and buying tickets of their live shows.,Wax Music,90036,Application Software,John Wolanin,2013.0,"Individual Investor, The Brandery","Los Angeles, CA",0.0,0.13513513513513514,2014-07-18,0.02,,Seed,5.0,816.0,425.5,7.0,0.02,1057,0,DrWolanin
270,123815-53,"Developer of a platform for connecting clean energy to smart devices. The company provides data, software and expertise that enables smart devices to prioritize energy from clean power sources.",WattTime,94720,Application Software,Nathan Davis,2014.0,"CITRIS Foundry, Echoing Green, FastForward Accelerator","Berkeley, CA",0.7213671216634853,0.9419350685562918,2015-07-08,0.03,,,28.0,496.0,578.0,12.0,0.03,702,0,FireChiefT
283,102672-46,Developer of a demand based online marketplace. The company's platform allows buyers to post what they want and connects consumers to businesses.,Wantboards,92618,Internet Retail,Ray Hahn,2012.0,,"Irvine, CA",0.017936433661305713,0.26746305206143084,2012-03-01,0.2,,Seed,1.0,513.0,134.0,3.0,0.2,1926,0,MelanieRayHahn
291,120315-79,"Developer of an online search engine designed to help users to check product videos from across the web and purchase the product directly after viewing the videos. The company's online search engine offers product demos, expert reviews, fan reviews, news clips and installation guidance, enabling consumers to make purchase decision on the basis of these videos and reviews.",Vyrill,94111,Information Services (B2C),Ajay Bam,2015.0,"Founder.org, Gener8tor, Marti Hearst, Skydeck | Berkeley","San Francisco, CA",0.14545134828539424,0.945116389681607,2017-02-01,0.02,0.31,,8.0,146.0,1117.0,9.0,0.07,128,0,ajbam
298,104778-91,"Provider of AI service to e-retailers to increase e-commerce revenue. The company provides a platform to combine catalog, audience, pricing and transaction intelligence which increases the conversion lift for the retailers by identifying the interest of consumers.",Vufind,94596,Other Commercial Services,Moataz Rashad,2010.0,Individual Investor,"Walnut Creek, CA",-0.018618230620005054,4.047204968944099,2012-07-01,0.5,,Seed,25.0,3257.0,425.5,4.0,0.93,1804,0,moatazr
329,103520-44,"Provider of a telemedicine platform to the users by connecting patients with the doctors. The company provides services like video conferencing, text chat with the clinicians and patients, file sharing and also helps the patients to schedule meetings.",VocoMD,94123,Other Healthcare Technology Systems,Lauren Meyers,2014.0,,"San Francisco, CA",0.0,0.002824858757062147,2014-07-15,0.2,,Angel,25.0,816.0,1.0,1.0,0.2,1060,0,itslaurenmeyers
345,179852-77,"Operator of a strategic consultancy intended to connect brands and agencies with audiences. The company's platform offers strategic consulting services using virtual reality, augmented reality, interactive video and artificial intelligence, enabling brands and agencies to establish connections with customers and create maximum impact of the business projects.",Visory,90404,Consulting Services (B2B),Theo Skye,2017.0,,"Santa Monica, CA",0.0,0.02702702702702703,2017-04-04,0.01,,Angel,1.0,816.0,425.5,7.0,0.01,66,0,theoskye
359,59254-03,Provider of a social media deals platform. The company's platform enables brands to offer exclusive promotions on social networking sites.,Vionic,92121,Social/Platform Software,Kosta Gara,2010.0,Individual Investor,"San Diego, CA",-0.018494190333136963,9.989759566915057,2015-10-30,0.42,,Seed,40.0,11919.0,8124.0,16.0,6.72,588,0,kostagara
360,118713-07,The company is currently operating in stealth mode.,Vinz Clortho,91367,Other Business Products and Services,Gary Fenton,2015.0,,"Los Angeles, CA",0.0,0.906016399070931,2015-06-12,0.05,,Angel,25.0,816.0,425.5,7.0,0.05,728,0,GaryRFenton
363,127583-02,Provider of a platform for selling wines. The company's platform offers an online marketplace that connects wine producers with buyers to sell their products.,Vinoshipper,95492,Internet Retail,Steven Harrison,2006.0,Sacramento Angels,"Windsor, CA",0.05132099788691995,5.046724690792487,2016-03-09,0.61,,Angel,200.0,816.0,1650.0,7.0,0.61,457,0,KCDOC123
368,118239-94,"Developer of a content sharing application. The company helps in creating and sharing content via social media, combining photos, privacy, and location in one application.",ViKPiK,92121,Social Content,Daniel Hoffman,2014.0,,"San Diego, CA",-0.040469740149677955,1.807267170844916,2015-08-01,0.15,,Seed,6.0,2094.0,1524.0,7.0,0.15,678,0,djhoffma
370,163339-39,Provider of a data search and monitoring platform. The company's platform enables users to access and gather data from various sources.,Vigilant Web,95816,Social/Platform Software,Zac Palin,2015.0,The LAUNCH Incubator,"Sacramento, CA",0.0,0.18361581920903955,2016-07-01,0.25,,,25.0,816.0,64.0,7.0,0.25,343,0,zpalin
409,152103-25,Provider of solar design tools. The company specializes in designing and developing design application for solar professionals that enables them to create preliminary designs and layouts for bids using 3D models based on aerial and satellite imagery.,Verdiseno,95061,Other Software,Derek Mitchell,2009.0,Thomas Varghese,"Santa Cruz, CA",0.20317076019564229,1.4833964978769696,2012-11-30,0.03,,,25.0,1108.0,563.0,7.0,0.03,1652,0,PartnersSIDerek
412,104761-54,"Provider of an online marketplace that allows users to find and rent spaces. The company offers an online peer to peer marketplace that works with schools, churches, community centers and other businesses to rent spaces for everyday activities, such as playgroups, meetups, fitness classes and workshops.",Venyooz,90401,Social/Platform Software,Lauren Shapiro,2012.0,,"Santa Monica, CA",-0.042420125490552046,0.7797476073820951,2015-04-22,0.11,,Angel,43.0,194.0,196.0,1.0,0.11,779,0,loloshapiro
433,102570-85,Developer of a drug infusion system for the people suffering from cancer. The company develops and markets an endovascular device which provides direct drug delivery to tumors and other delivery applications.,Vascular Designs,95118,Therapeutic Devices,Robert Goldman,2001.0,,"San Jose, CA",-0.0015909840931486886,1.338316503681279,2010-12-17,0.29,,Angel,36.0,196.0,1120.0,10.0,1.98,2366,0,RobertGoldmanSJ
437,102895-39,Provider of an event management platform. The company's software enables its users to get access to all virtual reality events offering live events viewing experience.,Vantage.TV,94103,Social/Platform Software,Juan Santillan,2014.0,River,"San Francisco, CA",-2.7444654491924427,2.203406854585926,2015-01-30,0.1,,,92.0,955.0,1054.0,2.0,0.1,861,0,psantillan
443,120986-47,"Owner and operator of a biotechnology company. The company offers non-toxic pest control chemicals and devices using receptor binding technology for hotels, offices, healthcare facilities, ships and cinemas.",Vama,94403,Other Consumer Products and Services,Ankur Jain,2013.0,,"San Mateo, CA",0.0,0.05183997556878913,2015-08-01,1.44,,Angel,3.0,816.0,8.0,15.0,1.44,678,0,ankur10
448,65556-37,"Provider of an online vacation rental listing platform. The company provides a web based vacation listing platform where visitors can choose their destination and compare numerous vacation rentals side-by-side, view pictures, amenities, and seasonal rates.",Vakast,92660,Social/Platform Software,Tam Nguyen,2012.0,"Chinh Chu, Ken Pansuria, Nicky Nguyen","Newport Beach, CA",-1.2188245426759041,2.5674774442828974,2014-07-31,1.3,,Seed,87.0,3737.0,326.0,11.0,1.3,1044,0,TamNguyenD7
453,103298-68,Developer of an intravenous light therapy. The company develops intravenous light therapy technologies to improve red blood cell function and oxygen delivery in patients.,UVLrx Therapeutics,93101,Other Devices and Supplies,Tom Digiovanni,2009.0,,"Santa Barbara, CA",0.0,0.4348755535196213,2016-11-03,0.21,,Angel,28.0,816.0,40.0,7.0,1.29,218,0,tndcpa
455,164355-13,Provider of a personalized recommendation platform for home improvements. The company designs and develops a back-end software tool that allows companies to call up estimates for homes in the United States for utility costs like water and electricity bills.,UtilityScore,94607,Social/Platform Software,Brian Gitt,2015.0,"Angeline Yap, Y Combinator","Oakland, CA",0.20452268079067332,2.087025376782193,2016-08-23,0.12,1.71,,118.0,957.0,271.0,7.0,0.12,290,0,BrianGitt
467,148657-42,"Provider of a home automation platform. The company develops a smart home operating system which uses indoor positioning system, mobile application and other hardware for automation of home.",Upward Automation,93401,Electronics (B2C),Mark Feldman,2014.0,SLO HotHouse,"San Luis Obispo, CA",0.016611522110904168,0.08925375264726776,2014-09-16,0.01,,,2.0,189.0,5.0,7.0,0.01,997,0,MarkRFP
471,104439-70,Provider of an online real estate platform. The comapny provides a real estate platform connecting home buyers and sellers with other agents.,UpNest,94010,Real Estate Services (B2C),Simon Ru,2013.0,"Alastair Rampell, Lex Bayer, Mark Yoshitake, Nick Lawler, Yee Lee","Burlingame, CA",0.5551645301331237,8.088373622069275,2014-11-02,2.8,20.32,Seed,385.0,1288.0,3475.0,16.0,2.8,950,0,GeekChicPromos
481,168680-62,Provider of a call crowdsourcing platform. The company's platform enables businesses to crowdsource calls to customers and receive analytics of each call outcome.,Upcall,94103,Social/Platform Software,Samuel Devyver,2016.0,Y Combinator,"San Francisco, CA",1.4621239116451978,2.0978972419097697,2016-01-01,0.12,1.71,,127.0,361.0,343.0,7.0,0.12,525,0,samueldevyver
482,172614-61,"Provider of a peer-to-peer on-demand drone rental platform intended to provide, hire and rent drones and related services online in the USA. The company's peer-to-peer on-demand drone rental platform offers precision landing technology that helps to eliminate the hassle of traveling with a drone, enabling people to find and rent a drone or service near them at a cost much lower than owning a drone.",Up Sonder,90036,Social/Platform Software,Derek Waleko,2015.0,Singh Ventures,"Los Angeles, CA",0.9640957053427996,0.9964402132419818,2016-12-20,0.1,,,44.0,166.0,473.0,7.0,0.25,171,0,DWaleko
493,163077-22,"Provider of an identity and access management platform. The company designs and develops digital keys and security software via Blockchain for devices, facilities and businesses.",UniquID,94103,Network Management Software,Stefano Pepe,2015.0,"Alchemist Accelerator, Runway Incubator, Seeweb","San Francisco, CA",0.0,0.13968850680346628,2016-04-07,0.05,,,4.0,87.0,79.0,7.0,0.05,428,0,stefanopep3
