Place,County,Population,Population Density,Per_capita_income,median_household_income,median_family_income
San Rafael,Marin,"58,588","3,536.4","$46,075","$75,668","$96,660"
San Ramon,Contra Costa,"73,826","3,971.1","$51,569","$129,062","$151,494"
San Simeon,San Luis Obispo,477,598.5,"$18,990","$33,889","$53,796"
Santa Ana,Orange,"331,266","12,203.1","$16,345","$52,519","$50,505"
Santa Barbara,Santa Barbara,"89,669","4,600.8","$37,692","$65,916","$82,769"
Santa Clara,Santa Clara,"119,525","6,492.7","$41,222","$93,840","$109,672"
Santa Clarita,Los Angeles,"179,030","3,395.2","$33,879","$83,178","$90,819"
Santa Cruz,Santa Cruz,"62,045","4,870.1","$29,177","$61,533","$79,431"
Santa Fe Springs,Los Angeles,"16,859","1,900.2","$20,761","$51,786","$63,333"
Santa Margarita,San Luis Obispo,"1,231","2,381.0","$28,335","$51,453","$65,104"
Santa Maria,Santa Barbara,"101,468","4,454.3","$18,509","$50,753","$52,515"
Santa Monica,Los Angeles,"91,619","10,887.6","$58,252","$74,534","$113,956"
Santa Nella,Merced,"1,164",255.3,"$19,860","$30,000","$43,281"
Santa Paula,Ventura,"29,990","6,529.5","$20,303","$53,692","$58,110"
Santa Rosa,Sonoma,"170,782","4,136.0","$29,890","$60,758","$69,921"
Santa Rosa Valley,Ventura,"3,422",494.4,"$67,083","$162,639","$175,466"
Santa Susana,Ventura,989,888.6,"$35,603","$87,386","$100,750"
Santa Venetia,Marin,"5,017","1,370.4","$34,564","$81,583","$98,939"
Santa Ynez,Santa Barbara,"4,909",955.8,"$43,990","$97,911","$99,519"
Santee,San Diego,"55,435","3,415.6","$30,531","$74,213","$86,397"
Saranap,Contra Costa,"5,591","4,930.3","$49,107","$102,054","$131,675"
Saratoga,Santa Clara,"30,627","2,454.3","$77,667","$167,917","$197,332"
Saticoy,Ventura,"1,212","3,258.1","$11,926","$35,926","$33,207"
Sattley,Sierra,74,36.2,"$49,272",[7,[7
Sausalito,Marin,"7,043","3,976.8","$89,751","$111,702","$180,898"
Scotia,Humboldt,864,"1,158.2","$23,080","$54,605","$54,028"
Scotts Valley,Santa Cruz,"11,711","2,535.9","$44,459","$102,927","$115,324"
Seacliff,Santa Cruz,"3,373","4,397.7","$33,424","$61,437","$68,271"
Seal Beach,Orange,"24,477","2,166.7","$46,617","$54,026","$92,352"
Sea Ranch,Sonoma,983,60.9,"$46,759","$59,375","$77,885"
Searles Valley,San Bernardino,"1,597",152.2,"$22,999","$30,478","$46,023"
Seaside,Monterey,"33,729","3,650.3","$21,548","$52,538","$53,926"
Sebastopol,Sonoma,"7,535","4,051.1","$35,094","$52,326","$67,782"
Seeley,Imperial,"1,214","1,001.7","$13,570","$26,761","$42,708"
Selma,Fresno,"23,808","4,633.7","$15,292","$43,143","$44,226"
Sequoia Crest,Tulare,26,25.4,[7,[7,[7
Sereno del Mar,Sonoma,51,69.2,"$71,720","$123,611",[7
Seville,Tulare,437,687.1,"$9,214","$34,219","$32,813"
Shafter,Kern,"17,261",617.7,"$14,563","$41,107","$41,663"
Shandon,San Luis Obispo,"1,323",448.5,"$22,883","$59,236","$57,639"
Shasta,Shasta,"1,814",165.2,"$31,400","$61,042","$72,400"
Shasta Lake,Shasta,"10,143",928.8,"$20,337","$40,295","$50,343"
Shaver Lake,Fresno,735,22.8,"$41,103","$80,481","$97,188"
Shell Ridge,Contra Costa,"1,139","2,648.8","$54,179","$120,163","$121,630"
Shelter Cove,Humboldt,516,88.5,"$50,193","$23,480","$24,459"
Sheridan,Placer,"1,465",56.3,"$18,223","$47,719","$59,712"
Shingle Springs,El Dorado,"4,562",555.7,"$35,567","$82,788","$82,740"
Shingletown,Shasta,"2,241",90.9,"$23,742","$50,491","$58,856"
Shoshone,Inyo,22,0.8,"$40,018",[7,[7
Sierra Brooks,Sierra,418,305.1,"$27,876","$41,250","$70,417"
Sierra City,Sierra,263,122.3,"$64,830","$123,846","$148,000"
Sierra Madre,Los Angeles,"11,060","3,745.3","$48,923","$90,780","$111,389"
Sierra Village,Tuolumne,612,242.4,"$24,564","$50,024","$52,091"
Sierraville,Sierra,133,26.5,"$14,649","$32,500",[7
Signal Hill,Los Angeles,"11,245","5,167.7","$30,387","$67,320","$65,851"
Silverado Resort,Napa,"1,074",568.0,"$89,910","$161,739","$168,869"
Silver City,Tulare,0,0.0,[7,[7,[7
Silver Lakes,San Bernardino,"5,706","1,102.8","$26,377","$66,703","$77,791"
Simi Valley,Ventura,"125,699","3,030.6","$37,279","$89,595","$98,394"
Sisquoc,Santa Barbara,276,123.8,"$16,611","$43,750","$62,500"
Sky Valley,Riverside,"2,493",102.5,"$21,593","$34,107","$50,391"
Sleepy Hollow,Marin,"2,584",865.1,"$88,551","$189,688","$220,750"
Smartsville,Yuba,143,199.4,"$19,583","$26,100","$27,400"
Smith Corner,Kern,661,"3,004.5","$9,508","$36,063","$36,438"
Smith River,Del Norte,871,219.4,"$15,985","$32,426","$34,583"
Snelling,Merced,116,214.8,"$24,639","$38,333","$70,750"
Soda Bay,Lake,"1,369","1,065.4","$32,831","$57,450","$56,716"
Soda Springs,Nevada,80,237.4,"$22,734","$28,917",[7
Solana Beach,San Diego,"13,146","3,734.7","$59,225","$90,579","$112,217"
Soledad,Monterey,"26,008","5,892.2","$9,701","$46,010","$46,651"
Solvang,Santa Barbara,"5,345","2,204.1","$39,334","$66,511","$77,159"
Sonoma,Sonoma,"10,818","3,942.4","$45,197","$66,951","$96,064"
Sonora,Tuolumne,"4,844","1,531.5","$25,174","$32,985","$46,597"
Soquel,Santa Cruz,"10,275","2,234.7","$36,612","$78,703","$95,208"
Soulsbyville,Tuolumne,"2,020",671.1,"$28,916","$74,250","$74,864"
South Dos Palos,Merced,"2,464","1,605.2","$12,459","$44,180","$50,865"
South El Monte,Los Angeles,"20,375","7,166.7","$14,926","$44,498","$47,702"
South Gate,Los Angeles,"95,515","13,200.0","$14,256","$43,526","$44,947"
South Lake Tahoe,El Dorado,"21,394","2,106.1","$23,865","$41,380","$52,885"
South Monrovia Island,Los Angeles,"6,929","12,644.2","$17,824","$57,012","$57,329"
South Oroville,Butte,"6,058","2,065.5","$10,946","$33,605","$33,978"
South Pasadena,Los Angeles,"25,914","7,610.6","$46,649","$80,479","$107,015"
South San Francisco,San Mateo,"65,537","7,140.7","$32,269","$78,101","$89,186"
South San Gabriel,Los Angeles,"8,281","9,941.2","$23,693","$66,958","$72,007"
South San Jose Hills,Los Angeles,"21,012","13,933.7","$14,020","$58,154","$56,408"
South Taft,Kern,"1,680","1,561.3","$13,453","$39,784","$40,365"
South Whittier,Los Angeles,"58,328","10,929.0","$20,659","$64,112","$65,778"
Spaulding,Lassen,197,59.2,"$26,594","$54,722","$64,643"
Spreckels,Monterey,939,"7,696.7","$29,268","$80,288","$97,083"
Spring Garden,Plumas,0,0.0,[7,[7,[7
Spring Valley,Lake,"1,000",202.6,"$17,196","$27,404","$31,354"
Spring Valley,San Diego,"29,841","4,165.4","$26,104","$64,517","$68,285"
Spring Valley Lake,San Bernardino,"7,816","2,631.6","$26,121","$59,040","$73,575"
Springville,Tulare,502,120.0,"$24,696","$35,038","$60,625"
Squaw Valley,Fresno,"2,450",43.3,"$24,659","$63,629","$68,948"
Squirrel Mountain Valley,Kern,372,521.7,"$39,483","$42,596","$43,990"
Stallion Springs,Kern,"2,983",181.6,"$32,696","$55,903","$63,306"
Stanford,Santa Clara,"13,506","4,945.4","$30,200","$51,622","$173,750"
Stanton,Orange,"38,455","12,416.9","$18,870","$45,842","$47,509"
Stevenson Ranch,Los Angeles,"18,832","2,962.4","$47,057","$114,555","$125,459"
Stevinson,Merced,171,151.3,"$26,693","$52,250","$72,917"
Stinson Beach,Marin,425,294.9,"$60,870","$108,571","$123,309"
Stirling City,Butte,154,130.8,"$31,496","$97,792","$97,792"
Stockton,San Joaquin,"297,223","4,819.8","$19,927","$45,347","$50,166"
Stonyford,Colusa,283,97.7,"$19,104","$50,833","$58,750"
Storrie,Plumas,0,0.0,[7,[7,[7
Stratford,Kings,"1,301","1,904.8","$9,288","$23,750","$21,579"
Strathmore,Tulare,"3,626","2,578.9","$9,913","$26,250","$22,398"
Strawberry,Marin,"5,684","4,312.6","$65,102","$87,870","$103,676"
Strawberry,Tuolumne,228,437.6,"$16,877",[7,[7
Sugarloaf Mountain Park,Tulare,0,0.0,[7,[7,[7
Sugarloaf Saw Mill,Tulare,0,0.0,[7,[7,[7
Sugarloaf Village,Tulare,9,134.3,"$27,122","$21,250",[7
Suisun City,Solano,"28,627","6,973.7","$25,809","$71,306","$76,051"
Sultana,Tulare,813,"1,831.1","$9,019","$24,282","$24,176"
Summerland,Santa Barbara,"1,575",794.3,"$65,173","$89,050","$106,763"
Sunnyside,Fresno,"4,159","2,158.3","$31,299","$63,222","$65,323"
Sunnyside-Tahoe City,Placer,"1,845",545.9,"$33,019","$69,330","$93,000"
Sunny Slopes,Mono,137,72.7,"$69,329","$135,438",[7
Sunnyvale,Santa Clara,"145,921","6,637.9","$48,203","$103,257","$117,982"
Sunol,Alameda,956,34.4,"$51,704","$82,750","$96,071"
Sun Village,Los Angeles,"11,613","1,087.5","$17,065","$57,840","$59,753"
Susanville,Lassen,"16,537","2,081.4","$15,350","$49,430","$69,871"
Sutter,Sutter,"2,959",974.6,"$29,639","$64,671","$64,833"
Sutter Creek,Amador,"2,271",865.8,"$30,601","$41,071","$70,250"
Swall Meadows,Mono,259,58.0,"$35,984","$72,083","$81,563"
Taft,Kern,"9,063",593.8,"$19,016","$50,991","$56,886"
Taft Heights,Kern,"2,612","8,824.3","$19,555","$54,505","$53,302"
Taft Mosswood,San Joaquin,"1,398","2,955.6","$11,291","$31,829","$33,400"
Tahoe Vista,Placer,"1,332",490.4,"$27,463","$53,068","$59,676"
Tahoma,"El Dorado
Placer",959,369.7,"$32,244","$50,568","$53,438"
Talmage,Mendocino,"1,335",839.6,"$20,095","$69,853","$81,944"
Tamalpais-Homestead Valley,Marin,"10,331","2,205.1","$70,073","$138,598","$162,628"
Tara Hills,Contra Costa,"4,767","7,168.4","$23,890","$57,708","$62,143"
Tarpey Village,Fresno,"3,246","4,032.3","$21,394","$58,641","$71,833"
Taylorsville,Plumas,185,57.0,"$56,136","$76,176",[7
Tecopa,Inyo,115,6.2,"$11,688","$12,000","$20,714"
Tehachapi,Kern,"13,818","1,399.3","$16,613","$42,654","$57,389"
Tehama,Tehama,397,500.0,"$22,452","$47,679","$49,286"
Temecula,Riverside,"104,955","2,820.5","$28,630","$78,535","$86,773"
Temelec,Sonoma,"1,505",947.7,"$65,456","$40,000","$66,304"
Temescal Valley,Riverside,"24,714","1,282.1","$34,390","$89,259","$96,162"
Temple City,Los Angeles,"36,006","8,988.0","$27,403","$63,803","$73,210"
Templeton,San Luis Obispo,"7,753",987.4,"$33,281","$72,854","$88,650"
Tennant,Siskiyou,115,473.3,"$10,137","$14,934","$15,865"
Terminous,San Joaquin,409,418.6,"$47,117","$53,636","$65,865"
Terra Bella,Tulare,"2,912","1,070.2","$7,919","$24,489","$25,352"
Teviston,Tulare,"1,823",839.7,"$8,812","$24,267","$22,850"
Thermal,Riverside,"3,570",377.7,"$10,647","$26,344","$23,481"
Thermalito,Butte,"6,911",544.0,"$14,509","$35,156","$35,958"
Thornton,San Joaquin,748,350.7,"$14,204","$33,500","$33,646"
Thousand Oaks,Ventura,"128,126","2,321.8","$46,231","$99,115","$116,599"
Thousand Palms,Riverside,"7,956",336.6,"$20,191","$43,813","$45,830"
Three Rivers,Tulare,"2,278",51.2,"$33,420","$43,913","$67,125"
Three Rocks,Fresno,51,68.0,"$8,131",[7,[7
Tiburon,Marin,"9,100","2,046.8","$99,710","$130,661","$170,915"
Timber Cove,Sonoma,132,23.4,"$37,758","$34,554","$64,375"
Tipton,Tulare,"2,327","2,304.0","$9,892","$32,239","$32,716"
Tobin,Plumas,12,2.4,[7,[7,[7
Tomales,Marin,155,466.9,"$38,493","$38,480",[7
Tonyville,Tulare,764,"15,280.0","$16,311","$49,934","$49,934"
Tooleville,Tulare,387,"5,776.1","$13,664","$29,125","$24,766"
Topanga,Los Angeles,"8,923",466.5,"$62,434","$115,518","$125,946"
Topaz,Mono,123,40.1,"$12,633",[7,[7
Toro Canyon,Santa Barbara,"1,476",412.5,"$57,476","$72,500","$103,056"
Torrance,Los Angeles,"147,181","7,187.3","$36,876","$78,286","$94,077"
Tracy,San Joaquin,"84,573","3,748.5","$26,121","$74,748","$80,439"
Tranquillity,Fresno,897,"1,453.8","$11,432","$24,919","$26,528"
Traver,Tulare,910,"1,079.5","$12,035","$38,359","$31,563"
Tres Pinos,San Benito,457,127.1,"$40,395","$75,893","$124,000"
Trinidad,Humboldt,236,486.6,"$34,981","$42,917","$83,750"
Trinity Center,Trinity,239,45.7,"$24,426","$26,859","$26,830"
Trinity Village,Trinity,211,52.6,"$25,325","$32,292","$33,571"
Trona,Inyo,0,0.0,[7,[7,[7
Trowbridge,Sutter,184,27.3,"$19,087","$52,917","$78,750"
Truckee,Nevada,"16,191",500.9,"$37,117","$72,159","$82,356"
Tulare,Tulare,"60,663","2,977.3","$18,336","$46,387","$50,690"
Tulelake,Siskiyou,"1,029","2,509.8","$17,233","$35,208","$35,227"
Tuolumne City,Tuolumne,"1,824",782.2,"$21,238","$33,030","$34,821"
Tupman,Kern,176,333.3,"$16,889","$45,313","$45,938"
Turlock,Stanislaus,"69,875","4,127.8","$22,847","$51,594","$59,645"
Tustin,Orange,"77,765","6,988.2","$31,392","$71,105","$77,327"
Tuttle,Merced,17,9.7,[7,[7,[7
Tuttletown,Tuolumne,949,129.1,"$35,006","$47,794","$60,724"
Twain,Plumas,0,0.0,[7,[7,[7
Twain Harte,Tuolumne,"2,374",641.8,"$29,206","$43,625","$58,939"
Twentynine Palms,San Bernardino,"25,601",432.9,"$20,510","$40,890","$42,914"
Twin Lakes,Santa Cruz,"5,212","7,553.6","$33,493","$50,933","$72,432"
Ukiah,Mendocino,"15,956","3,416.7","$23,443","$42,237","$53,145"
Union City,Alameda,"71,675","3,694.6","$30,158","$82,564","$93,050"
"University of California, Davis",Yolo,"6,735","4,603.6","$6,412","$25,462","$29,095"
"University of California, Merced",Merced,0,0.0,[7,[7,[7
Upland,San Bernardino,"75,089","4,808.2","$29,064","$61,551","$68,353"
Upper Lake,Lake,755,448.9,"$18,717","$32,438","$47,880"
Vacaville,Solano,"93,994","3,311.6","$30,111","$74,207","$85,931"
Valinda,Los Angeles,"23,818","11,826.2","$17,809","$66,697","$67,367"
Vallecito,Calaveras,573,66.9,"$28,131","$83,487","$84,375"
Vallejo,Solano,"118,078","3,849.8","$25,945","$58,472","$67,543"
Valle Vista,Riverside,"15,995","2,328.9","$20,501","$40,010","$46,584"
Valley Acres,Kern,717,173.9,"$28,066","$47,466","$60,938"
Valley Center,San Diego,"9,872",360.0,"$31,746","$85,176","$94,094"
Valley Ford,Sonoma,167,63.2,"$9,490","$9,312",[7
Valley Home,Stanislaus,292,284.9,"$16,302","$36,964","$37,321"
Valley Ranch,Plumas,68,59.8,"$44,196","$115,000","$115,000"
Valley Springs,Calaveras,"3,631",367.8,"$28,566","$67,827","$71,964"
Valley Wells,Inyo,0,0.0,[7,[7,[7
Val Verde,Los Angeles,"2,550",994.2,"$19,594","$68,017","$69,856"
Vandenberg AFB,Santa Barbara,"3,464",157.2,"$20,710","$61,308","$60,260"
Vandenberg Village,Santa Barbara,"7,133","1,359.4","$34,667","$77,551","$98,265"
Verdi,Sierra,92,22.0,"$11,680","$4,853",[7
Vernon,Los Angeles,59,11.9,"$19,973","$38,500","$38,250"
Victor,San Joaquin,605,482.1,"$7,873","$19,259","$35,250"
Victorville,San Bernardino,"119,603","1,631.0","$15,873","$47,142","$50,608"
View Park-Windsor Hills,Los Angeles,"11,374","6,178.2","$44,586","$76,461","$109,939"
Villa Park,Orange,"5,911","2,843.2","$65,733","$150,864","$157,910"
Vina,Tehama,161,119.1,"$17,404","$26,250","$24,821"
Vincent,Los Angeles,"17,687","12,015.6","$20,142","$76,682","$74,880"
Vine Hill,Contra Costa,"4,296","2,860.2","$21,948","$62,857","$65,729"
Vineyard,Sacramento,"25,640","1,490.4","$26,688","$76,084","$78,987"
Visalia,Tulare,"126,942","3,407.1","$22,885","$52,262","$56,766"
Vista,San Diego,"96,181","5,148.9","$21,161","$47,782","$53,505"
Vista Santa Rosa,Riverside,"2,815",174.6,"$15,530","$52,713","$49,688"
Volcano,Amador,0,0.0,[7,[7,[7
Volta,Merced,257,58.8,"$19,853","$42,464","$63,500"
Walker,Mono,540,29.3,"$39,294","$63,889","$77,461"
Wallace,Calaveras,682,157.1,"$53,687","$72,120","$105,056"
Walnut,Los Angeles,"29,822","3,316.5","$35,064","$100,934","$107,750"
Walnut Creek,Contra Costa,"65,923","3,336.4","$51,998","$80,399","$112,114"
Walnut Grove,Sacramento,"1,137",111.5,"$32,844","$65,463","$70,240"
Walnut Park,Los Angeles,"16,039","21,442.5","$13,044","$41,202","$41,809"
Warm Springs,Riverside,"3,163","2,132.8","$20,851","$80,042","$75,714"
Warner Valley,Plumas,5,0.3,[7,[7,[7
Wasco,Kern,"25,865","2,744.0","$10,931","$39,273","$40,437"
Washington,Nevada,17,8.9,[7,[7,[7
Waterford,Stanislaus,"8,579","3,685.1","$15,757","$44,660","$49,583"
Waterloo,San Joaquin,384,70.7,"$36,472","$132,125","$143,083"
Watsonville,Santa Cruz,"52,085","7,787.8","$17,377","$46,691","$48,957"
Waukena,Tulare,173,183.7,"$18,462","$46,750","$66,094"
Wawona,Mariposa,167,26.3,"$16,110","$47,656","$7,308"
Weaverville,Trinity,"3,294",316.0,"$24,043","$42,165","$52,712"
Weed,Siskiyou,"2,937",613.2,"$14,202","$29,200","$37,639"
Weedpatch,Kern,"2,170",610.1,"$9,981","$28,075","$28,636"
Weldon,Kern,"2,604",97.7,"$19,074","$30,988","$46,875"
Weott,Humboldt,152,202.4,"$27,832","$93,393","$93,393"
West Athens,Los Angeles,"8,615","6,448.4","$16,499","$38,371","$41,473"
West Bishop,Inyo,"2,865",327.1,"$37,527","$83,125","$93,571"
West Carson,Los Angeles,"20,766","9,164.2","$28,307","$62,414","$72,548"
West Covina,Los Angeles,"107,441","6,697.9","$24,944","$67,069","$72,751"
West Goshen,Tulare,633,537.4,"$7,653","$20,350","$14,572"
Westhaven-Moonstone,Humboldt,962,118.9,"$30,340","$54,261","$60,750"
West Hollywood,Los Angeles,"35,053","18,576.0","$54,352","$56,025","$70,438"
Westlake Village,Los Angeles,"8,393","1,618.7","$62,394","$115,550","$145,106"
Westley,Stanislaus,853,489.4,"$7,011","$18,462","$18,462"
West Menlo Park,San Mateo,"3,743","7,685.8","$82,841","$169,798","$192,250"
Westminster,Orange,"91,255","9,086.4","$22,821","$53,660","$57,262"
West Modesto,Stanislaus,"5,534","2,786.5","$12,356","$27,297","$28,103"
Westmont,Los Angeles,"30,835","16,685.6","$14,176","$27,072","$31,813"
Westmorland,Imperial,"1,747","2,961.0","$11,257","$22,372","$24,464"
West Park,Fresno,792,442.0,"$14,550","$36,389","$38,167"
West Point,Calaveras,743,199.8,"$17,924","$28,262","$29,022"
West Puente Valley,Los Angeles,"23,868","12,770.5","$17,005","$62,669","$65,052"
West Rancho Dominguez,Los Angeles,"21,739","5,470.3","$16,783","$44,909","$48,736"
West Sacramento,Yolo,"49,946","2,323.5","$25,081","$53,307","$62,905"
West Whittier-Los Nietos,Los Angeles,"26,590","10,555.8","$19,949","$62,486","$65,326"
Westwood,Lassen,"1,509",277.6,"$20,710","$33,452","$54,135"
Wheatland,Yuba,"3,494","2,143.6","$21,363","$61,370","$66,347"
Whitehawk,Plumas,41,15.9,"$37,346","$76,944",[7
Whitewater,Riverside,469,47.5,"$13,003","$15,500","$34,375"
Whitley Gardens,San Luis Obispo,166,120.6,"$47,110","$85,385","$103,971"
Whittier,Los Angeles,"86,400","5,898.0","$27,632","$65,583","$74,628"
Wildomar,Riverside,"33,601","1,418.5","$22,380","$60,816","$63,592"
Wilkerson,Inyo,550,96.0,"$32,961","$73,125","$76,750"
Williams,Colusa,"5,166",948.9,"$18,878","$54,069","$56,232"
Willits,Mendocino,"4,853","1,734.5","$18,502","$34,186","$50,233"
Willowbrook,Los Angeles,"20,897","13,508.1","$11,840","$37,760","$37,750"
Willow Creek,Humboldt,"1,425",47.0,"$18,701","$35,607","$53,523"
Willows,Glenn,"6,118","2,148.9","$24,044","$38,730","$59,952"
Wilsonia,Tulare,0,0.0,[7,[7,[7
Wilton,Sacramento,"4,670",161.0,"$36,737","$81,250","$99,135"
Winchester,Riverside,"2,717",351.4,"$26,244","$57,935","$59,293"
Windsor,Sonoma,"27,113","3,730.5","$33,615","$81,442","$93,921"
Winter Gardens,San Diego,"20,346","4,593.8","$26,701","$61,759","$66,738"
Winterhaven,Imperial,151,618.9,"$17,087","$21,793",[7
Winters,Yolo,"6,843","2,331.5","$27,983","$59,856","$67,422"
Winton,Merced,"11,774","3,871.8","$13,230","$41,091","$41,203"
Wofford Heights,Kern,"2,043",337.3,"$23,742","$30,500","$43,750"
Woodacre,Marin,"1,778",989.4,"$50,853","$88,657","$104,783"
Woodbridge,San Joaquin,"3,973","1,318.6","$34,483","$72,452","$91,701"
Woodcrest,Riverside,"15,951","1,397.9","$29,068","$86,095","$88,207"
Woodlake,Tulare,"7,452","3,227.4","$12,469","$35,509","$37,711"
Woodland,Yolo,"56,390","3,684.2","$25,149","$54,532","$66,901"
Woodlands,San Luis Obispo,448,271.2,"$59,986","$79,864","$88,864"
Woodside,San Mateo,"5,427",462.6,"$125,559","$206,528","$242,143"
Woodville,Tulare,"1,961",450.6,"$11,897","$34,750","$31,071"
Wrightwood,San Bernardino,"4,452",751.3,"$29,168","$55,697","$57,139"
Yankee Hill,Butte,242,40.2,"$21,555","$33,500","$53,875"
Yettem,Tulare,285,"1,862.7","$7,478",[7,[7
Yolo,Yolo,561,406.5,"$22,830","$75,089","$90,764"
Yorba Linda,Orange,"66,335","3,434.6","$47,852","$115,994","$128,542"
Yosemite Lakes,Madera,"4,668",223.3,"$34,430","$59,750","$69,583"
Yosemite Valley,Mariposa,877,425.9,"$26,579","$37,250","$111,875"
Yountville,Napa,"2,977","1,944.5","$51,554","$65,568","$90,391"
Yreka,Siskiyou,"7,675",768.7,"$18,142","$26,385","$31,728"
Yuba City,Sutter,"65,141","4,446.8","$23,038","$50,494","$56,734"
Yucaipa,San Bernardino,"52,406","1,845.2","$26,103","$58,506","$69,098"
Yucca Valley,San Bernardino,"21,083",526.9,"$20,643","$43,086","$53,767"
Zayante,Santa Cruz,853,313.0,"$31,533","$81,308","$93,490"